,text,label
0,Hardwork and devotion,1
1,networking to get new point of view for marketing my digital development services (berjejaring dan mendapatkan sudut pandang baru untuk memasarkan produk jasa pengembangan digital),0
2,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
3,"To inject technical expertise, influence, network, investment, and visibility into our project.",0
4,Hardwork and devotion,1
5,Fundamental para este momento,1
6,Hardwork and devotion,1
7,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
8,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
9,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
10,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
11,Ingin mendapatkan ilmu marketing online,0
12,Requiero de alguien fuera de mi ciclo que me apoye con una visión distinta a fortalecer este emprendimiento,0
13,"Es mi fuente de sustento, necesito poner en orden mi idea y resolverla",1
14,Motivasi saya ingin dapat merealisasikan bisnis ini dan harapannya dengan mentor saya bisa dapat memulai dan mengerti akan dunia bisnis.,1
15,I need an investor for my business,0
16,"I would love to have a mentor help me grow and see things I don't know. I am internally motivated and not afraid to work hard but I hate spinning  my wheels with mistakes that through trial and error I learn were totally foolish or maybe weren't completely wrong but I don't know how to surgically examine the taken action and make the 1 or 2 tweaks necessary, doing that alone with limited or no results weighs on you over time no matter how gritty you are... that being said I am not going to stop. I will find a way and I know this attitude will help connect me the right people.",1
17,Más que un mentor busco explorar sinergias,0
18,ampliar mi red de alianzas y partners,0
19,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
20,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
21,Hardwork and devotion,1
22,Quiero desarrollar un pensamiento estratégico que me permita posicionar mi marca en el mercado nacional e internacional,1
23,Motivasi saya mengikuti mentoring ini supaya saya mendapat mentor agar saya bisa dibantu untuk dapat arahan Usaha yang akan dijalankan akan segera direalisasikan.,1
24,No sé por dónde empezar con mis finanzas y cómo impulsar mis ventas.,0
25,To boost inner confidence.,1
26,"More interested in venture partners, at this time.",0
27,"I could benefit from some outside perspective on how to package my services and, fine-tune my ideas on a niche.",0
28,motivasi saya semoga ada nya pelatihan ini bisa menambah ide baru atau strategi baru untuk zaman kini yang semakin berkembang nya teknologi dan kemanan nya,1
29,Requiero de alguien fuera de mi ciclo que me apoye con una visión distinta a fortalecer este emprendimiento,0
30,Apoyo en la búsqueda de capital inversionista,0
31,"Motivasi saya karena ingin belajar banyak hal, saling sharing sesama pebisnis, menambah ilmu terkait dunia usaha/kerja, dan mengetahui adanya peluang masa depan",1
32,"Es mi fuente de sustento, necesito poner en orden mi idea y resolverla",1
